Kabupaten/Kota + Provinsi;Laki-Laki;Perempuan;Laki-laki+Perempuan;Jenjang
KALIMANTAN SELATAN;106.16;104.5;105.32;SD/MI
TANAH LAUT;103.24;108.7;106.04;SD/MI
KOTABARU;103.28;101.7;102.5;SD/MI
BANJAR;107.47;100.19;103.76;SD/MI
BARITO KUALA;109.9;104.77;107.12;SD/MI
TAPIN;109.54;107.82;108.75;SD/MI
HULU SUNGAI SELATAN;115.84;107.3;111.27;SD/MI
HULU SUNGAI TENGAH;104.94;103.93;104.44;SD/MI
HULU SUNGAI UTARA;101.41;108.11;104.41;SD/MI
TABALONG;110.78;100.1;105.27;SD/MI
TANAH BUMBU;108.96;103.46;106.17;SD/MI
BALANGAN;103.98;108.19;106.2;SD/MI
KOTA BANJARMASIN;102.96;103.64;103.3;SD/MI
KOTA BANJAR BARU;104.17;111.86;108.05;SD/MI
KALIMANTAN SELATAN;91.06;89.35;90.22;SMP/MTs
TANAH LAUT;80.35;95.81;87.52;SMP/MTs
KOTABARU;88.87;93.13;91.14;SMP/MTs
BANJAR;77.72;77.9;77.81;SMP/MTs
BARITO KUALA;84.05;87.2;85.63;SMP/MTs
TAPIN;92.26;93.27;92.82;SMP/MTs
HULU SUNGAI SELATAN;90.02;99.8;93.71;SMP/MTs
HULU SUNGAI TENGAH;88.31;81.81;85.09;SMP/MTs
HULU SUNGAI UTARA;100.08;86.91;92.59;SMP/MTs
TABALONG;99.33;93.14;96.17;SMP/MTs
TANAH BUMBU;90.89;98.22;94.55;SMP/MTs
BALANGAN;105.92;87.4;97.39;SMP/MTs
KOTA BANJARMASIN;99.6;91.37;95.78;SMP/MTs
KOTA BANJAR BARU;100.32;83.77;91.25;SMP/MTs
KALIMANTAN SELATAN;81.0;83.36;82.17;SMA/SMK/MA
TANAH LAUT;95.39;69.87;82.71;SMA/SMK/MA
KOTABARU;89.5;62.46;74.93;SMA/SMK/MA
BANJAR;70.22;83.54;76.88;SMA/SMK/MA
BARITO KUALA;73.84;94.77;82.54;SMA/SMK/MA
TAPIN;76.79;66.61;71.65;SMA/SMK/MA
HULU SUNGAI SELATAN;69.96;83.1;77.1;SMA/SMK/MA
HULU SUNGAI TENGAH;89.25;83.52;86.36;SMA/SMK/MA
HULU SUNGAI UTARA;76.44;87.93;81.59;SMA/SMK/MA
TABALONG;69.69;95.28;81.85;SMA/SMK/MA
TANAH BUMBU;77.63;73.82;75.89;SMA/SMK/MA
BALANGAN;100.92;93.03;96.66;SMA/SMK/MA
KOTA BANJARMASIN;81.45;90.88;86.58;SMA/SMK/MA
KOTA BANJAR BARU;101.6;104.71;103.01;SMA/SMK/MA
