kabupaten_kota;Laki-laki;Perempuan;Nilai_APM;Jenjang
TANAH LAUT;98.7;98.26;98.48;SD/MI
KOTABARU;97.88;97.13;97.51;SD/MI
BANJAR;98.2;96.72;97.44;SD/MI
BARITO KUALA;100.0;97.81;98.82;SD/MI
TAPIN;99.29;96.37;97.95;SD/MI
HULU SUNGAI TENGAH;97.67;99.08;98.37;SD/MI
HULU SUNGAI UTARA;98.74;100.0;99.3;SD/MI
TABALONG;100.0;97.57;98.75;SD/MI
TANAH BUMBU;99.25;100.0;99.63;SD/MI
BALANGAN;97.66;99.3;98.52;SD/MI
KOTA BANJARMASIN;99.4;99.65;99.53;SD/MI
KOTA BANJAR BARU;99.34;99.92;99.64;SD/MI
TANAH LAUT;72.24;74.1;73.1;SMP/MTs
KOTABARU;79.54;79.71;79.63;SMP/MTs
BANJAR;70.79;74.15;72.45;SMP/MTs
BARITO KUALA;69.67;79.01;74.37;SMP/MTs
TAPIN;76.48;74.64;75.46;SMP/MTs
HULU SUNGAI TENGAH;72.98;76.96;74.95;SMP/MTs
HULU SUNGAI UTARA;78.39;82.05;80.47;SMP/MTs
TABALONG;83.49;80.6;82.01;SMP/MTs
TANAH BUMBU;74.38;82.59;78.47;SMP/MTs
BALANGAN;89.93;67.38;79.55;SMP/MTs
KOTA BANJARMASIN;86.33;80.87;83.8;SMP/MTs
KOTA BANJAR BARU;82.24;75.63;78.62;SMP/MTs
TANAH LAUT;75.13;53.97;64.61;SMA/SMK/MA
KOTABARU;63.86;44.48;53.42;SMA/SMK/MA
BANJAR;48.81;58.95;53.88;SMA/SMK/MA
BARITO KUALA;62.73;62.97;62.83;SMA/SMK/MA
TAPIN;50.61;48.89;49.75;SMA/SMK/MA
HULU SUNGAI TENGAH;56.95;61.0;58.99;SMA/SMK/MA
HULU SUNGAI UTARA;57.77;65.97;61.45;SMA/SMK/MA
TABALONG;60.02;76.86;68.01;SMA/SMK/MA
TANAH BUMBU;57.23;54.21;55.85;SMA/SMK/MA
BALANGAN;73.54;63.16;67.93;SMA/SMK/MA
KOTA BANJARMASIN;63.04;59.17;60.94;SMA/SMK/MA
KOTA BANJAR BARU;77.03;69.87;73.78;SMA/SMK/MA
